-23.27413707 -0.00086615 -0.00001605 	-23.27413707 -0.00032860 -0.00000535	-23.27413707 -0.00048356 -0.00000840 	-23.27413707 -0.00150686 -0.00002854 
-23.24912456 -0.00086750 -0.00001610 	-23.24912456 -0.00032905 -0.00000536	-23.24912456 -0.00048426 -0.00000842 	-23.24912456 -0.00150924 -0.00002862 
-23.22411206 -0.00086884 -0.00001615 	-23.22411206 -0.00032949 -0.00000537	-23.22411206 -0.00048496 -0.00000844 	-23.22411206 -0.00151164 -0.00002870 
-23.19909955 -0.00087019 -0.00001619 	-23.19909955 -0.00032996 -0.00000538	-23.19909955 -0.00048568 -0.00000846 	-23.19909955 -0.00151402 -0.00002880 
-23.17408704 -0.00087153 -0.00001624 	-23.17408704 -0.00033038 -0.00000541	-23.17408704 -0.00048636 -0.00000850 	-23.17408704 -0.00151642 -0.00002888 
-23.14907454 -0.00087289 -0.00001628 	-23.14907454 -0.00033084 -0.00000543	-23.14907454 -0.00048708 -0.00000852 	-23.14907454 -0.00151882 -0.00002894 
-23.12406203 -0.00087425 -0.00001634 	-23.12406203 -0.00033130 -0.00000543	-23.12406203 -0.00048780 -0.00000854 	-23.12406203 -0.00152126 -0.00002906 
-23.09904952 -0.00087562 -0.00001638 	-23.09904952 -0.00033175 -0.00000544	-23.09904952 -0.00048850 -0.00000856 	-23.09904952 -0.00152366 -0.00002914 
-23.07403702 -0.00087698 -0.00001644 	-23.07403702 -0.00033221 -0.00000546	-23.07403702 -0.00048922 -0.00000858 	-23.07403702 -0.00152610 -0.00002920 
-23.04902451 -0.00087835 -0.00001647 	-23.04902451 -0.00033266 -0.00000547	-23.04902451 -0.00048994 -0.00000860 	-23.04902451 -0.00152854 -0.00002930 
-23.02401201 -0.00087972 -0.00001652 	-23.02401201 -0.00033312 -0.00000550	-23.02401201 -0.00049066 -0.00000864 	-23.02401201 -0.00153100 -0.00002940 
-22.99899950 -0.00088111 -0.00001657 	-22.99899950 -0.00033358 -0.00000551	-22.99899950 -0.00049138 -0.00000866 	-22.99899950 -0.00153344 -0.00002948 
-22.97398699 -0.00088248 -0.00001664 	-22.97398699 -0.00033401 -0.00000552	-22.97398699 -0.00049208 -0.00000868 	-22.97398699 -0.00153590 -0.00002956 
-22.94897449 -0.00088388 -0.00001668 	-22.94897449 -0.00033449 -0.00000553	-22.94897449 -0.00049282 -0.00000870 	-22.94897449 -0.00153836 -0.00002966 
-22.92396198 -0.00088526 -0.00001673 	-22.92396198 -0.00033495 -0.00000556	-22.92396198 -0.00049354 -0.00000874 	-22.92396198 -0.00154084 -0.00002976 
-22.89894947 -0.00088667 -0.00001678 	-22.89894947 -0.00033540 -0.00000554	-22.89894947 -0.00049426 -0.00000874 	-22.89894947 -0.00154332 -0.00002984 
