-22.94897449 -0.00064721 -0.00001120 	-22.94897449 -0.00039763 -0.00000633	-22.94897449 -0.00064962 -0.00001126 	-22.94897449 -0.00182804 -0.00003430 
-22.92396198 -0.00064814 -0.00001123 	-22.92396198 -0.00039816 -0.00000634	-22.92396198 -0.00065056 -0.00001128 	-22.92396198 -0.00183090 -0.00003438 
-22.89894947 -0.00064907 -0.00001126 	-22.89894947 -0.00039868 -0.00000637	-22.89894947 -0.00065150 -0.00001132 	-22.89894947 -0.00183378 -0.00003448 
-22.87393697 -0.00065002 -0.00001129 	-22.87393697 -0.00039923 -0.00000637	-22.87393697 -0.00065246 -0.00001134 	-22.87393697 -0.00183664 -0.00003458 
-22.84892446 -0.00065096 -0.00001133 	-22.84892446 -0.00039976 -0.00000639	-22.84892446 -0.00065340 -0.00001138 	-22.84892446 -0.00183954 -0.00003470 
-22.82391196 -0.00065190 -0.00001136 	-22.82391196 -0.00040030 -0.00000642	-22.82391196 -0.00065436 -0.00001142 	-22.82391196 -0.00184242 -0.00003480 
-22.79889945 -0.00065285 -0.00001140 	-22.79889945 -0.00040080 -0.00000645	-22.79889945 -0.00065528 -0.00001146 	-22.79889945 -0.00184534 -0.00003490 
-22.77388694 -0.00065380 -0.00001143 	-22.77388694 -0.00040137 -0.00000645	-22.77388694 -0.00065626 -0.00001148 	-22.77388694 -0.00184824 -0.00003500 
-22.74887444 -0.00065476 -0.00001146 	-22.74887444 -0.00040188 -0.00000645	-22.74887444 -0.00065720 -0.00001150 	-22.74887444 -0.00185118 -0.00003510 
-22.72386193 -0.00065571 -0.00001149 	-22.72386193 -0.00040242 -0.00000648	-22.72386193 -0.00065816 -0.00001154 	-22.72386193 -0.00185410 -0.00003522 
-22.69884942 -0.00065666 -0.00001153 	-22.69884942 -0.00040296 -0.00000650	-22.69884942 -0.00065912 -0.00001158 	-22.69884942 -0.00185704 -0.00003532 
-22.67383692 -0.00065764 -0.00001156 	-22.67383692 -0.00040352 -0.00000653	-22.67383692 -0.00066010 -0.00001162 	-22.67383692 -0.00185998 -0.00003542 
